Site,Aberdare,Ai.Ais,Akagera,Amboseli,Arawale,Arly.Partial,Arly.Total,Arusha,Bahr.Salamat,Bale,Bangweulu,Banhine,Bicuar,Binder.Lere,Bontioli,Boumba.Bek,Budongo,Buffalo,Bururi.Forest,Cameia,Cangandala,Chobe,Cliff.of.Bandiagara,Comoe,Daan.Viljoen,Deux.Bales,Etosha,Gambella,Gile,Gishwati,Gombe,Gonarezhou,Gorongosa,Hells.Gate,Hwange,Iona,Kabore.Tambi,Kafue,Kafue.Flats,Kakamega,Kasungu,Kgalagadi.Transfrontier,Khaudum,Kibale,Kibira,Kidepo.Valley,Kilimanjaro,Kizigo,Kourtiagou,Kruger,Lac.Tele,Lake.Manyara,Lake.Mweru,Lake.Nakuru,Lake.Rukwa,Lefini,Lengwe,Liwonde,Lolldaiga,Luando,Luengue.Luiana,Madjoari,Mago,Mahale.Mountains,Mahango,Majete,Mana.Pools,Manda,Manovo.Gounda.Saint.Floris,Mare.aux.Hippopotames,Marsabit,Masai.Mara,Matobo,Matusadona,Mavinga,Meru,Mikumi,Mocamedes,Mont.Fouari,Mount.Assirik,Mount.Elgon,Mount.Kenya,Mudumu,Mupa,Murchison.Falls,Mushandike,Mwabvi,Mweru.Wantipa,Nairobi,Namib.Naukluft,Ngorongoro,Ngotto.Forest,Niassa,Nkasa.Rupara,Nkhotakota,Nouabale.Ndoki,Nyanga.Nord,Nyika,Nyungwe,Odzala.Kokoua,Okavango.Delta,Omo,Pama,Parc.W.Niger,Quiçãma,Ruaha,Rusizi,Ruvubu,Rwenzori.Mountains,Salonga,Samburu,Selous,Serengeti,Simien.Mountains,Singou,Siniaka.Minia,Tamou,Tarangire,Tsavo,Tsoulou,Volcans,Vwaza.Marsh,W,Waterberg.Plateau,West.Lunga,Zakouma,Zinave
Cliff of Bandiagara,41151.2799762164,22655.6367887631,61383.8738703146,22921.0709876538,32959.821664148,26284.6524029575,24119.8806156851,42889.7442971317,25505.5681224568,39879.7414611095,51934.4135180328,24323.4759549269,25757.0874670837,37226.6008161866,30270.952285414,81697.1469983531,68766.5419454803,24899.1137315644,64854.2111551356,49560.885820607,41131.4304912555,25838.2680542602,0,70264.4006859964,21652.0220520411,42335.6307197088,29750.2314332563,24337.0732128951,47470.5695883402,72281.7224691346,53021.2255658433,29032.0424137386,39894.5077675303,44838.450411054,24280.8354600071,28776.9670732224,21247.3080676963,46332.7446587786,62596.3228737996,58061.763776555,47396.5725828759,49637.9466441569,26739.5984705077,69322.9739207413,65205.0073054752,28689.9019102937,51298.8708204732,27379.6686332975,26648.8309190669,27282.2357016889,80536.7939145009,36353.4820781026,62405.4446641885,30143.4010096012,53137.5783152044,66104.22015398,54636.5939050038,61481.9823460581,25793.3670410219,37460.1466049375,37736.0421666034,26648.8309190669,24822.2272279197,59264.896615227,35958.9342074035,56324.5423619391,45334.1769005487,28945.3413991776,37436.4509947693,48613.5009002059,24275.7386924834,48942.5194387484,31903.6687598073,36819.8871228749,30157.5856200096,32936.1138860375,25669.3165493956,30466.7123686357,70715.224067214,43465.4770232423,59792.9313941603,51466.9990516525,26885.0560167621,31693.0592305903,57894.6714678626,50742.1499099429,49253.3718278465,49422.3969760868,28105.4399398956,30586.5827078259,28571.0743589753,82557.7694696794,36763.9612300229,34496.5466782386,41635.9077736175,81267.0077625397,72881.6138855167,46423.6224170098,69264.2999192079,73321.0353038366,28195.2351792008,24310.985266123,22739.6775994509,22761.2991121188,27677.8215119771,37136.2462561587,63243.1427235759,53199.3162023044,64445.0798208333,76954.8228896566,24626.7349109359,50974.5487691162,33952.0703754095,18473.9742029707,21233.7713717418,24279.315921639,22875.7898902605,31723.2205373592,25166.5069302301,61080.9843436463,75301.943362688,43818.2293058454,23093.3069058726,23746.2980864206,38428.5512657485,25724.0703297708,24297.3337712708
Comoe,32617.9707507591,56301.6330399709,16157.5530427774,58997.5278458476,63244.2582477696,50741.8917362181,53685.8017330784,29291.6341384984,52705.4856863322,38187.8456351374,21784.0446707167,55714.2002153389,46843.6537027599,41295.584220366,45397.9275075719,20035.9581942084,14474.1122331447,52727.9004655908,19998.3243894378,24207.8001146726,33264.7624671207,48737.3827937024,70264.4006859964,0,56459.3692031955,34377.1965982538,67104.6707165384,58484.6494207075,27293.6850320496,15168.9226040585,23019.7383567858,43279.7468736189,32237.8117099489,27772.5869099503,50564.1228726434,74556.8389848686,54780.3092311298,26228.0486057634,14077.3890156608,20772.1199479385,25549.0660770037,107671.174010907,68675.6827632298,11945.1097072765,20175.963504217,46112.3151848373,24915.1657683508,46146.3550198254,49774.7118597856,45533.5101711624,20161.0233058463,36741.2848495712,17178.4651406667,42544.2392108232,21023.8659090818,15584.1411603859,21533.9002749633,14206.8438506225,50425.8328322727,34858.7015610704,34562.4599517565,49774.7118597856,52217.5790694914,17179.1676231355,37132.4865619654,19145.7314813973,27460.3926460321,47486.813388222,35219.9842995502,28230.5262060643,69972.8149821101,27172.6602762952,40327.3675065491,35868.5827433592,45268.1114000478,40740.5356646419,47807.9317798361,80523.7998100932,23194.3757425081,33533.8999586075,17119.5540019081,23073.7800806124,45389.8393417657,42991.1754105443,17686.3287980665,27442.3390766472,24519.1818191712,23912.900710898,45138.0396996629,85072.0911392513,44783.8899924014,20527.6945721063,36773.7534225582,38002.0916145212,31101.5917677107,20457.0982536335,21740.3099068312,28373.0399250436,18089.1396881099,13999.4342428151,44342.1979174777,54188.0104429595,59303.268681383,55798.5005132906,49922.7724191107,36054.4440420742,18168.2986786344,25089.4606997158,16335.1474244332,20486.7248612498,50151.7670680597,24195.9390344767,40607.2949603761,58380.861144407,59850.1460143439,70607.5758658521,61616.6350293882,42408.6375613685,47108.4700400936,20371.9505840557,13166.6756818712,28404.8070377504,55041.6596911554,58423.328262902,33902.3430508793,57406.2129949036,48554.9846460092
Daan Viljoen,26971.4694352212,15245.3690716832,46944.3275552052,15437.950508831,33893.3322135415,13342.6999268257,11698.6890613731,30016.8050254664,10439.2233831519,29208.0036318626,38777.7886302734,13632.0092814623,14392.5607966882,22840.5547955242,19388.0210910088,67632.4700625001,55522.9239970964,13002.8530516726,51249.9423698821,36739.9379071973,28014.5327256948,12392.8257016367,21652.0220520411,56459.3692031955,0,27723.5844618541,18591.3643402777,11734.7695124999,33386.6255041661,59580.8761458332,40603.2977121906,15952.2114749752,27042.5320725573,32962.7525786515,12128.686903518,24243.9514097164,8578.14107952895,33411.7749652781,50236.8736672666,41420.2163033826,33677.3617905617,54675.6557479095,18054.2033217592,55204.1612449643,51123.4994712367,17300.5153248281,36647.2005381948,14622.3205668148,15066.0013387347,13874.9084275797,65935.7856163197,22116.753878581,47883.7323101052,17698.543191263,39920.3547538128,49686.693867941,40773.8572877019,47937.9574389365,13027.613587372,25464.0807128767,25849.5095290073,15066.0013387347,12015.8221986478,45178.5526736107,23707.1495514945,43598.3891179027,32004.5755679348,16934.4323572529,25222.1076965782,36388.7781905869,20625.4635552456,34522.574212443,18725.4222892565,24040.2740128835,18478.4127051745,20357.238550396,14325.2356675172,27803.5066305275,54135.7989930556,28429.6189477233,45764.3172126484,38313.903712124,14249.5572582913,19210.9885708337,44639.2025064939,35220.2852085692,36884.144516889,37098.3668452376,16050.7344347881,34712.9789732144,15906.5389749751,69985.8588395558,23553.6159547585,22432.6551927959,28397.1467154317,66542.7004542802,58214.968653209,31691.8162874995,56494.1206717689,60182.0895830442,14937.5800304898,12196.8104477341,11024.6305671296,12644.1082725693,14680.012981233,23451.3401781311,48166.7789797966,36694.9972994619,50329.0284970239,60096.4556737312,12021.7943954386,37192.1243701218,20314.7672045067,19777.9872667716,10762.7468402775,17757.7511458332,13202.7368016979,18726.1622646341,12884.4876218039,44313.7660528579,60410.0055402775,30272.7919168048,13249.5032412275,10498.5403433638,26072.3335142628,11095.7317054066,13731.6162026515
Deux Bales,17966.5854367081,30632.0625949116,27217.3164110045,37427.1511286475,38834.6848110721,24193.3341789538,25032.3026622298,18275.4959571784,29067.359913237,15176.6108308696,18036.5144827222,33569.1886826145,27772.3301015699,15524.4030578652,16236.9888042478,45099.8991231758,36098.3560326256,28211.9407529517,31955.2937843002,18421.2992104502,15021.1398423069,30266.9005225366,42335.6307197088,34377.1965982538,27723.5844618541,0,43021.2934761178,34679.3848409976,15880.686638504,36432.5715881803,21585.2744151572,25649.9180254552,20069.7216192069,16074.3673246993,30571.6759199399,48020.2040109567,24536.101070544,17247.6223788086,27602.3278872126,18309.718374885,17848.1460396725,77384.3262361944,40854.3160625502,33456.4965156704,30783.7663099159,23461.2949127726,20884.4312096037,27954.884057819,23452.7968280848,26875.457001596,43133.2273229498,21143.5175800417,25986.5235670022,23496.3527335621,19870.6928808629,28249.5618847443,19803.9617374953,25965.478822465,30131.9932877231,17605.7202439308,17219.2811170038,23452.7968280848,31608.4724294806,26197.2975207763,17979.8126539602,22069.9903386904,17295.8580706769,21346.5299818751,17216.011008632,14728.3816868877,44528.4109540197,18843.5985885593,22899.6817071137,17330.2440581441,21146.58506939,21885.6541666016,28657.5074303181,50131.7481806959,34110.0311533457,13046.9608640078,25806.3390434477,18334.240273257,26307.6478147126,23329.4433921512,24793.521631842,18580.5202058375,17905.617119845,18598.9879799655,26792.1363733493,57261.213179212,25940.7724895232,46807.0524418276,17327.745960637,19983.0304540675,16975.2231840567,44523.5119468238,36867.5113653492,15729.3207525388,33986.1839397893,37864.9807633112,26683.7874730688,34661.1202677753,32184.4019730861,29848.7406840324,24204.6894487886,21345.654761101,27467.1654252997,16935.545405259,27969.9940160545,37976.3755775374,30388.0951413674,17711.1429772412,22283.0170515568,32193.7271866156,32886.5610657987,40422.8813365653,34888.1554312451,23060.0005216871,28193.4837352537,27422.6652847257,37399.7130452446,16588.8053151223,30267.7838333847,32841.7923969776,17364.1894755993,31183.2341323562,27993.3281176791
Etosha,37353.3425699872,27333.9647002694,56747.9358938361,13693.2268786433,30786.1376953129,23737.6744791665,22506.7250989174,39571.0935684588,18884.464077433,42844.1715128818,48538.0857341391,16000.3954081627,23024.3610509965,33577.3162422832,32578.5447036589,76498.0409284719,65357.1162509139,20813.379779021,59759.5717407369,45847.9786281852,35022.8185763882,20670.0007835196,29750.2314332563,67104.6707165384,18591.3643402777,43021.2934761178,0,15183.2182333341,41831.1564916666,68878.0140798617,48836.0166805982,26033.3935044787,36502.123660759,41885.2755281622,19563.4441132814,9543.18819220554,21795.0389452787,43270.953732639,59669.6601884002,56001.8164831967,43863.8334652126,44492.2586910686,10177.9900000004,65699.9869300505,59532.9880004087,25529.7875344141,44979.9001736111,23108.0620039686,24125.7513387348,23835.7876698713,74420.0405815978,32755.1221652561,56699.0396912173,27751.1908783255,49696.989334712,61529.7945542074,49826.3754805843,58229.6082540634,19410.3844345572,33932.3157203792,34676.7504371185,24125.7513387348,18238.0932793307,55663.7993923617,32042.9982623872,52926.3234523649,41614.9405441794,26546.5038966051,34719.8030573851,51610.1109664355,8616.01354235331,44232.6618277828,27968.7536843696,33218.4246497495,26694.9743495282,30401.22007998,21798.6014827804,17706.3660487531,64670.6553626547,38616.133928908,56421.3923096239,48706.7881848804,23916.3679413381,26401.1957458337,54233.3122528748,44799.0684335475,45726.0935838906,46310.4553217114,25972.3380920238,22863.7320365644,26511.7363846773,79186.0548257894,32782.5052930843,30806.5014396006,38111.1357124311,75392.628652449,67085.6220621332,41019.8995416667,65967.2783978175,70103.3590263345,25328.8324352212,17462.1536650704,15938.4957600308,19019.7575954861,25135.5628873967,33381.8596683925,57890.881096901,50251.3074865358,60962.418738663,72420.4881594228,21208.340678016,47914.0181610132,30222.8969058249,33480.0147363017,16845.3963136574,17360.5482291667,19125.7947627314,29007.7731521536,22692.252258438,55454.0809659093,72085.2481486114,40075.8423627568,20921.2599651038,15728.0433873462,35550.4544813176,17245.1306602967,21772.6337821397
Gambella,29287.8060137374,19295.0961797983,49397.7366147766,7726.7139050754,34606.5641119793,13356.2600115698,12771.1737780419,31414.6759850808,11482.459403719,33897.8739568708,40046.4353699126,6986.85440161615,15336.1289219456,26543.6008790124,23933.6215244698,67365.9664000002,56214.4977450917,14041.1673839752,51547.2035610159,37350.0680137748,28694.5978013894,12575.9381528675,24337.0732128951,58484.6494207075,11734.7695124999,34679.3848409976,15183.2182333341,0,33457.5241000013,60605.4819444442,41216.5347085051,17521.6025676526,27794.4500056682,33758.9566391996,11506.6365685528,19205.6749499632,13574.1093904427,34702.3563166657,50801.216609053,48169.6394106183,35062.6099529312,53048.3753447519,13870.2670469141,57431.4901128092,51476.3215007305,16207.6232605527,38157.1510756953,15378.3700258501,14519.4233308641,15233.0436125473,66829.9457781246,24707.18551556,48678.1591044564,19245.0777966319,41135.8285123814,53561.5477677694,41538.4744033064,49317.8664532303,10063.7631006344,25833.260517695,25333.1481435141,14519.4233308641,8206.91023444339,47379.7439333329,22840.0107380233,44289.9270241127,33519.6778238625,16511.1344666674,25047.7746056719,41825.5504401236,15026.0421354443,35990.4325978085,19010.6812600922,24833.7287559746,18118.6593488156,22281.7276199541,15146.0450543364,27272.7936857145,57431.4010246913,30535.4652315681,47129.0920990645,40269.9808145661,15471.7713650971,18110.270866667,45726.0894528584,37563.9757548216,37557.6128541842,37410.3926046776,18230.5760351079,31639.6271159863,17863.721940828,70207.3001281828,23697.4231925059,22296.6421812501,29787.2684171135,66905.4094399276,59499.2082228522,32460.3137000006,57581.1581648809,61261.4080677741,16177.9126204989,6452.36297950185,7435.47958024728,10546.7828843752,16077.0854669422,25244.2083001969,50967.756793636,42701.8962061225,52738.3923306119,64702.2851586443,12239.1293764048,39280.7110988067,22296.4846639456,22716.5634481178,8060.35073580282,19108.8220000002,9937.65119012379,21513.0996115913,14094.2311109207,48119.4286976587,63743.9199555555,32001.5475553575,12636.377474275,10573.4035703705,26015.9061444635,8736.43252135047,12805.9355928375
Gile,14455.8971719401,35019.0885257114,21725.0379966061,37103.2860006857,44941.3124661459,27101.7021220378,29627.0261074268,11984.9823665134,29661.5146201639,16903.1233683762,14208.8462460693,34214.4163798469,25916.812259188,19805.862988889,23299.4950590026,35118.139300001,29818.5241024017,27588.7341432176,24733.4499951174,9735.18576446333,8283.21510555523,29023.6524290816,47470.5695883402,27293.6850320496,33386.6255041661,15880.686638504,41831.1564916666,33457.5241000013,0,31489.9412111108,15970.8331709187,25879.7030719917,13748.8277163697,11566.1957853349,31199.2678286595,49510.4319837174,31148.786566628,9245.21289444414,20166.224047051,22582.1204367495,11354.7494824835,84882.3466339097,43711.6162160499,26949.2810557439,24821.0064983084,21729.8058392501,12540.7455791668,27614.1756763661,26066.0411172844,27119.5941433854,35838.6081690973,19634.3719223306,18445.1055959886,24538.5493008601,14990.2140186436,24401.2425790633,11670.3767103033,18224.1275235041,30091.263121284,11156.5858838136,11659.4424264737,26066.0411172844,31845.5139184307,18704.2739666664,13765.9779962705,13919.3460974838,9695.20869159164,25145.8947419761,13355.3834045211,18824.8491697525,44467.965756088,16477.5980914641,19554.3884980774,12253.8873989196,20013.6363595447,22365.7653615415,26765.3647832485,57616.2924999989,30597.0974975311,11702.3355811832,20865.8130197371,16057.4272507306,24831.2439000004,18135.3614000005,19915.514731925,12460.0710687946,7953.73974019161,11937.5579861392,26878.1221871783,62600.8546098636,26688.6960609457,38034.5722629288,13763.9112938857,16012.5712197573,10802.5156164669,35652.9189065257,29826.1928130929,2992.88613333354,27405.8911439624,30198.412973869,24314.3919052944,33001.6810534631,35495.9029592597,30422.0773510417,26121.6304242427,18585.6556104527,24694.6299604284,16438.4220068028,23800.2796551023,33888.8605917615,30313.1066617532,14954.0965005512,21275.3907979587,36807.3496288937,35297.6716506179,47736.6990083335,37643.6887765436,24184.4146535744,27917.6544776404,24413.5116241049,32469.2512777776,10032.0873954509,29953.589788408,34275.0731370378,11316.0836314818,33404.1680640499,26925.1648603305
Gishwati,35568.864018555,57597.4371349851,19012.375248446,60810.5489917699,65916.1453472225,53493.3374885216,55712.9344554105,32000.2847203869,55265.991282293,41167.9951265612,23904.5772588493,57333.4354372166,48483.4853216379,43315.0167901232,47368.5139773771,20060.8671666661,8568.61838796688,54576.3173916049,11585.6121261049,26370.5189784208,35769.5102430571,50593.2422424911,72281.7224691346,15168.9226040585,59580.8761458332,36432.5715881803,68878.0140798617,60605.4819444442,31489.9412111108,0,23646.8293038402,46741.7705834979,34564.3679607607,29895.5468813585,52649.21406253,76716.6813221168,56194.058669443,29081.0009722215,15312.2454595332,23785.2565774086,28810.6918796965,109885.33245867,71137.9044135802,9011.12345944284,12494.6915618993,47458.810241617,27488.6565104183,48987.4041817838,52120.7142592592,48105.7860707986,19122.9403906263,39898.7850906036,19843.7760227212,44726.7921625756,23493.7747062618,17174.80635675,22170.8393348709,15913.3051710926,52055.5908406003,37707.2474965696,37384.9302403977,52120.7142592592,54387.2917049809,20642.9126388887,40045.7148193001,20069.8934579331,30428.4683414719,50298.4327160494,37976.8132536296,31905.672175926,71881.5463890038,31809.4599144571,43753.9028331557,38738.4803166416,47338.875883759,44433.6914561023,49508.1036401644,82830.1648979601,17776.553518519,34978.0057458131,20678.2735443401,24140.9035116,47085.0806301939,44831.5166666666,18707.7364156214,28133.3263709071,26892.0354389571,26435.1614944724,48538.0128566734,86633.4524178009,47849.5591370814,19228.0933513317,38694.1712409592,39947.3010339785,33679.5121583563,19143.4983289361,15196.1252762733,31387.3701666668,5494.94734056115,14084.5020090798,46158.2159772238,55560.6958741155,62205.3157407406,58110.9332378477,52819.4977571167,39127.0731919792,14910.6327977315,27395.6529365084,13766.5095238107,16906.7495829574,51882.5594878546,26895.0804591365,44280.9622959196,60536.41565002,62635.0751851852,73552.5188888879,64546.7030864194,45590.1937788364,49763.3469788586,19625.8145511939,11502.8487111114,31506.7563615977,56610.3414778554,60826.5840432106,37019.1039811522,58953.5572325536,50646.964938017
Gombe,19634.8562237781,41817.6289203761,15198.6908035726,41332.3001543216,48295.5870788321,35415.2192187027,36246.6511432703,18100.4888596923,37350.907769791,24039.2630543791,13384.2249179006,38295.6013149221,31186.0884016076,27034.9445233197,29923.4066077791,32318.7187452682,23837.2772849865,34190.8324915578,18455.5793109616,10971.0749087674,16711.3766557353,34452.6829813972,53021.2255658433,23019.7383567858,40603.2977121906,21585.2744151572,48836.0166805982,41216.5347085051,15970.8331709187,23646.8293038402,0,31262.4497696654,21222.9524681567,15956.8625917283,35801.1625635825,55831.926783149,38656.3718976164,18445.1282493133,13688.3683127567,19676.5249677953,16711.5297306541,90316.5303533546,50405.0068827166,21534.4488065215,19455.5543757515,29040.8804266003,13937.5099504891,32924.960641149,33311.9012654321,32674.1445560732,32843.2002127272,25537.0386366778,15615.5768308767,29418.4462057802,14976.475829572,22585.73721148,10621.7157815015,12728.7714821983,35743.466409852,18969.6382887512,21424.3408043895,33311.9012654321,37725.9735287204,14390.5734224966,24596.7399893087,10412.3541061123,17983.853681966,34225.450366942,23373.4926283209,19903.6768261325,51563.1146379122,17710.5697654275,26178.1596529392,21262.6143959489,29830.2848953984,29482.2515232757,31527.4783825952,63384.1704997769,28159.0343244181,18337.6903542525,17724.6153830855,11696.3521342612,30673.1014236577,26987.1823906716,15371.9868259705,14831.466410056,12316.6367455422,13075.8343592964,32053.8750276582,66924.4665331673,33044.0907124335,32895.1754139342,22232.8731184204,22574.956403023,17268.231530642,32679.4173847098,27570.6214429186,15669.1645518516,22432.5391342361,25696.458409093,30421.9091337223,38570.955635685,42275.6203943769,37020.9619100433,34132.6863634946,25167.3555357712,16063.551042939,15744.502253576,18906.152887447,30927.6820154426,35568.5868885183,16431.2715390434,29361.2459950032,44142.7521623079,42615.7499965717,53552.698899177,44341.9967866944,30514.8444050187,33961.4896658777,20113.4200021397,26658.9078456798,18144.720794498,36623.42734348,40710.7020061743,21316.1990635436,40356.5051776887,32973.8205490652
Gonarezhou,15397.5030976588,19679.0358555702,34252.7520678979,18962.4749586854,38078.0908899624,11643.9384577895,12357.0025209643,19034.1463300855,13750.9550861382,30128.5184385267,26805.2011065926,14543.0535485974,5873.73612226598,20038.0442333257,18663.381487458,58725.6054209062,43935.8810370512,16076.3719385467,42618.9553261033,25792.0868048154,21545.8528487634,9783.17570732518,29032.0424137386,43279.7468736189,15952.2114749752,25649.9180254552,26033.3935044787,17521.6025676526,25879.7030719917,46741.7705834979,31262.4497696654,0,14741.8728750818,22569.563293188,10499.5535739373,33007.6591810042,14649.9330551392,20762.1282371799,39768.422369096,38106.1864166904,20700.6440580934,65659.6402812361,26920.666587772,41262.9983744446,42349.519949814,8461.70642504912,30836.4623472421,4864.09706896339,11942.3816988095,3858.04206877736,57853.4712816913,10282.2666550229,39777.2676723214,8041.84958936889,27517.2996542994,43862.7867373304,32656.3381380276,36465.5004556953,11436.2486709552,15503.7223072867,16269.9863891355,11942.3816988095,12871.153499597,33217.4268441813,15286.7292507314,33990.980991755,19353.8896259121,12824.7976006285,16352.141397758,34256.7328611487,28852.6428517869,23665.2139792052,9148.12791744025,15117.096170537,12920.6278336339,8635.59003686196,7141.75301708476,38561.4466688812,47856.3760501133,24485.4136669955,33486.3376058086,26766.0971901386,5608.76539483225,12725.6033895456,32673.9468872412,28050.2162772961,26466.3656550475,25663.4523964615,4959.8528796846,44004.1531007222,4605.06452662716,58905.303696954,14516.7840779095,12484.6958176069,17728.8457151133,58356.1509403421,49864.2610574995,24784.2843080868,45047.2406111753,47871.7768304488,6371.20093947923,13711.7033502252,18185.11404668,14676.364886639,11318.6884586048,10019.556775148,42215.1340494418,33386.5425239506,37067.276844786,54951.3519295199,10649.4971724689,23370.7693798666,8493.756095279,19810.867592375,18345.2554068961,30024.9730300794,20649.6416418298,6510.14619103294,7587.24302415722,40003.329459367,48424.6941969768,18906.2892650803,14697.2109368347,16799.0170677194,16579.3576139855,16820.0735801061,9431.24586377451
Gorongosa,12388.1849146535,27213.6539028945,27085.9296660686,28259.552324275,41869.0037049765,21146.2884665625,23482.6951591204,13268.4598613397,23431.7818390276,23354.4820421841,16678.1801227121,24529.9740309438,16484.9992552586,17631.1174909726,19735.2845583109,45236.1916733656,32392.1134156941,22580.0501687664,30640.33679917,13414.6787170351,14260.6109026134,18794.5843250075,39894.5077675303,32237.8117099489,27042.5320725573,20069.7216192069,36502.123660759,27794.4500056682,13748.8277163697,34564.3679607607,21222.9524681567,14741.8728750818,0,11702.03344233,20552.4888788507,44233.6389517131,24979.1765657935,12345.1786334059,26492.1904357479,27752.1294960325,14420.7428567167,78154.1031527257,38594.9709705154,31589.1274758909,30606.3382510378,15548.7675248653,21178.0728604124,18225.8795811147,19497.8333686751,17080.4050206168,45134.034593459,11364.5206392681,28108.5622497002,13927.8967242374,18159.0896935567,31992.6336368624,20418.6366218279,23111.0584126034,20272.2227754656,10611.740717395,9904.76103765782,19497.8333686751,21458.6167508918,21580.9551720834,10024.1114447486,21586.3214388199,11671.5646937643,19702.0107153077,11408.3300425429,25808.6502973576,39840.225375267,19988.6998187613,12331.0864505514,10495.7646706809,15171.3124831559,13311.3475024257,17502.8256354674,51103.6589529588,37229.2049761813,16118.8686986803,24518.759163691,19082.2254072598,15098.6425774607,14344.6447455411,22730.8703610285,18015.4313614981,14296.45613565,16252.0388452385,17190.0842177697,54613.157322278,16805.9479191844,45908.211923912,9707.79700835119,10072.4306281194,10705.8828557738,45516.4703410324,37677.7175606758,14398.5538213635,31910.9352580624,34991.1908627835,14161.6882953143,23242.0619228537,29774.0049538683,25144.9414219905,20195.2524290985,7987.22899323177,32342.3801440728,23626.0011789503,27890.1693002138,42577.3281879594,20338.5835282577,17231.5636254591,13241.9176963564,28767.1371630987,29592.7662204385,41120.9257510906,31663.0610571995,14714.9094442294,17995.5346128506,29715.5574736189,37638.9710929191,11937.1809241857,25086.039820315,28233.9734473578,8918.31312971734,27493.5868760497,18353.7856228568
Hells Gate,12249.4831618929,34268.8831653063,20737.4588067627,34193.7564229052,43480.132800888,27982.9830562959,29947.7357595554,9945.18042680865,29598.76962025,19154.7536176544,14454.6285629197,30391.1508832398,21358.5023339521,19268.1419908326,24220.3975031516,40555.9932255647,28564.4196656468,27235.0631147151,28212.3711563254,10432.177907049,11055.8454665005,25537.7070083145,44838.450411054,27772.5869099503,32962.7525786515,16074.3673246993,41885.2755281622,33758.9566391996,11566.1957853349,29895.5468813585,15956.8625917283,22569.563293188,11702.03344233,0,26605.6868801917,48833.219493594,30963.1375472212,10629.0015826059,22480.7487657779,25566.2860825832,10968.7236879082,82937.513188356,43594.672699498,27214.6616786465,26830.5714825282,21487.7327851513,16669.0135503367,23948.4479448743,26417.0786533886,23564.3455919257,40279.4497278681,16340.6020776334,23444.9026664704,18066.1500357091,15351.7943964853,28461.4553891386,16070.4794105015,19712.7038000396,26936.1073622669,13149.7550731822,14976.3268951362,26417.0786533886,28417.0823424485,17581.9202084164,17257.4534593442,19108.8718733985,10440.4338809246,24300.9287571007,16423.4833114288,20278.7534456157,44585.726423165,14842.7209512458,19983.6127014255,13788.9706509916,22383.1301511934,20566.8761836128,23586.0894879991,55891.3982018696,34363.2178017421,13862.5991592937,21124.1895959101,13918.0475523402,21999.1475423565,20278.1246028539,20953.777296851,15400.1319799104,12119.5970230254,13898.9955293321,22235.5581512393,59137.8774597683,22147.1444651983,41155.3100027184,14686.3021701818,16840.7910720569,8998.62073954202,39959.0427352302,34655.59148323,9000.60548596907,28387.9219826202,30502.7296525934,22410.1105788661,29466.6897532312,34998.3965320901,31085.9889508707,27934.814426491,16922.6896944966,26367.0032026715,19880.0519853409,24066.738111679,38414.3769669642,26790.2417710865,15134.9335629431,17971.6770872661,35728.8649177566,36071.4472890517,45863.4662014471,37000.6118276668,20493.0957034815,24682.566157815,26281.5869544608,33436.4523026426,8993.85514111092,30809.6520861987,33693.8737559268,15492.1120607025,33578.170851206,25282.8128834477
Hwange,22026.6898846785,16441.1834899219,42593.1887855473,12251.9170071389,34352.0746670542,13979.2013941485,12980.6416130804,23608.3877477746,10598.4713812897,33371.4908936007,31770.4197069807,6272.86191953186,6828.06417899621,23627.3920446618,21800.0412250471,64957.3177285252,49805.3618625412,11340.4813539454,47827.5182149768,31616.6810856968,25288.6349449842,2866.52691994682,24280.8354600071,50564.1228726434,12128.686903518,30571.6759199399,19563.4441132814,11506.6365685528,31199.2678286595,52649.21406253,35801.1625635825,10499.5535739373,20552.4888788507,26605.6868801917,0,24546.0474110537,13097.4539956665,26618.1186385223,45475.2091107748,44722.306353123,28055.205588333,58451.4554926736,19217.4700207663,50153.3143077367,48078.4429744584,11974.3354123141,35424.6545743605,7369.88318059873,13559.3145932244,7636.97168332216,64236.8159787676,16728.1453339124,45818.1520011518,12433.915814657,33492.342226851,50680.6170115338,38199.1737490803,42040.9496083963,6206.19761771897,21308.2177731729,21812.5120401314,13559.3145932244,6664.95886427902,39490.6701568035,19800.2833497126,40267.6002147629,24901.3908958153,16079.3122762723,21726.6934497901,39161.301539597,21248.1185667399,29800.3453673334,14717.3980248246,20516.8361964962,15712.677885912,15081.5315567841,7253.81845358719,31545.3087811782,54554.9637583743,28856.658182548,40126.8004371863,32634.0510899987,7920.03264658901,14041.3997856264,37640.290230298,34563.2644213053,32107.6929681514,31057.1322799075,10512.9423330169,34988.6189792813,10368.7155815932,65504.4695021493,19753.4311752669,17393.4527195722,22913.5084279464,64715.1419277989,56786.3129995755,29791.0899557975,51148.966491551,54395.4096061883,9133.05608756283,7979.92332367746,12189.5018352539,11280.411808635,14437.0708508241,17304.6662784816,48613.8700021804,39725.3559471455,45713.2256907958,61810.3144697861,5160.16752848883,32249.4733716146,15697.9393271244,21717.1958281567,11914.6936213875,22668.6018229317,13718.5734695227,13370.606549007,5297.88975199343,46282.2777522643,57165.9797292418,24471.897934023,12435.9478529403,9501.10922125829,22313.187455187,12244.9828258713,7392.94272491523
