"Code","Region","Remove","Community","Full_Name","Country","Long","Lat","BioregionName","SubRealm","num_nodes","EVI_mean","bin.AG.class","EVI_std","Frag_std"
"ETO","Subequatorial Savannas & Woodlands",0,"Etosha","Etosha National Park","Namibia",15.9,-18.95,"Greater African Subequatorial Savannas & Mixed Woodlands","SubEquatorialAfrotropics",50,753.039260969977,99.7313561143348,134.748491053027,0.0359376310735067
"GAM","Sudanian Savanna",0,"Gambella","Gambella National Park","Ethiopia",34.13,7.96,"West Sudanian Savanna","SubSaharanAfrotropics",51,3381.96073903002,96.757803048633,215.86950795578,2.42243919433341
"GILE","Subequatorial Savannas & Woodlands",0,"Gile","Gile National Reserve","Mozambique",38.38,-16.55,"Greater African Subequatorial Savannas & Mixed Woodlands","SubEquatorialAfrotropics",53,4063.18937644342,99.8272884283247,61.6808809963595,0
"GISH","Victoria Basin & Albertine Rift Forests",0,"Gishwati","Gishwati Forest Reserve","Rwanda",29.38,-1.82,"Victoria Basin & Albertine Rift Forests","EquatorialAfrotropics",67,3919.34872979215,99.0646921278254,136.183091711941,0.685085776055107
"GOMB","Victoria Basin & Albertine Rift Forests",0,"Gombe","Gombe National Park","Tanzania",29.63,-4.69,"Victoria Basin & Albertine Rift Forests","EquatorialAfrotropics",59,3483.32563510393,93.1566134703814,430.665770331274,1.02105296654071
"GONA","Subequatorial Savannas & Woodlands",0,"Gonarezhou","Gonarezhou National Park","Zimbabwe",31.88,-21.6,"Greater African Subequatorial Savannas & Mixed Woodlands","SubEquatorialAfrotropics",67,2664.78060046189,99.8299861863776,76.9167406854836,0
"GORO","Subequatorial Savannas & Woodlands",0,"Gorongosa","Gorongosa National Park","Mozambique",34.5,-18.82,"Greater African Subequatorial Savannas & Mixed Woodlands","SubEquatorialAfrotropics",61,2981.74364896074,99.4987468671679,213.322246297214,0.113794685489541
"HELL","Subequatorial Savannas & Woodlands",0,"Hells Gate","Hells Gate National Park","Kenya",36.32,-0.88,"Greater African Subequatorial Savannas & Mixed Woodlands","SubEquatorialAfrotropics",61,2650.8129330254,97.977895001256,169.694101422884,0.4361751319202
"HWA","Subequatorial Savannas & Woodlands",0,"Hwange","Hwange National Park","Zimbabwe",26.56,-19.08,"Greater African Subequatorial Savannas & Mixed Woodlands","SubEquatorialAfrotropics",62,3172.25173210162,99.818104001712,78.675517946587,0
"IONA","Southern Drylands",0,"Iona","Iona National Park","Angola",12.33,-16.64,"Southwest African Coastal Drylands","SouthernAfroTropics",49,678.715935334873,99.8273629693569,26.8621340930036,0
"KAB","Sudanian Savanna",0,"Kabore Tambi","Kabore Tambi National Park","Burkina Faso",-1.26,11.47,"West Sudanian Savanna","SubSaharanAfrotropics",42,2657.89376443418,99.3020163970751,128.442612730799,1.03781286007429
"KAFF","Subequatorial Savannas & Woodlands",0,"Kafue Flats","Kafue Flats","Zambia",27.23,-15.64,"Greater African Subequatorial Savannas & Mixed Woodlands","SubEquatorialAfrotropics",55,2742.96997690531,99.2707383773929,148.310670493437,0.627054526620668
"KAFNP","Subequatorial Savannas & Woodlands",0,"Kafue","Kafue National Park","Zambia",25.87,-15.15,"Greater African Subequatorial Savannas & Mixed Woodlands","SubEquatorialAfrotropics",62,3117.99769053118,99.7612069901227,215.098718874934,0.740140563390042
"KAK","Victoria Basin & Albertine Rift Forests",0,"Kakamega","Kakamega National Reserve","Kenya",34.86,0.33,"Victoria Basin & Albertine Rift Forests","EquatorialAfrotropics",42,4474.94457274827,99.6905393457118,109.365262726823,0.175725835998207
"KFR","Sudanian Savanna",0,"Kourtiagou","Kourtiagou Faunal Reserve","Burkina Faso",1.96,11.54,"West Sudanian Savanna","SubSaharanAfrotropics",46,2617.78752886836,89.7970303773328,104.085522912604,4.2647865045702
