Code,Community,Full.Name,Country,Long,Lat,Remove
MTK,Mount.Kenya,Mount Kenya National Park,Kenya,37.34,-0.12,0
MUD,Mudumu,Mudumu National Park,Namibia,23.57,-18.08,0
MUPA,Mupa,Mupa National Park,Angola,15.54,-15.96,0
MUR,Murchison.Falls,Murchison Falls National Park,Uganda,31.8,2.26,0
MUSH,Mushandike,Mushandike Sanctuary,Zimbabwe,30.64,-20.11,0
MWAB,Mwabvi,Mwabvi Wildlife Reserve,Malawi,35.02,-16.71,0
MWE,Mweru.Wantipa,Mweru Wantipa National Park,Zambia,29.42,-8.65,0
NAI,Nairobi,Nairobi National Park,Kenya,36.86,-1.38,0
NAMI,Namib.Naukluft,Namib Naukluft National Park,Namibia,15.33,-24.55,0
NGCA,Ngorongoro,Ngorongoro Conservation Area,Tanzania,35.38,-3.05,0
NGO,Ngotto.Forest,Ngotto Forest,Central African Republic,17.24,3.88,0
NIA,Niassa,Niassa Game Reserve,Mozambique,37.35,-12.01,0
NKA,Nkasa.Rupara,Nkasa Rupara National Park,Namibia,23.66,-18.39,0
NKH,Nkhotakota,Nkhotakota Wildlife Reserve,Malawi,34.03,-12.87,0
NOU,Nouabale.Ndoki,Nouabale Ndoki National Park,Congo,16.6,2.5,0
NYA,Nyanga.Nord,Nyanga Nord Faunal Reserve,Congo,11.83,-2.96,0
NYK,Nyika,Nyika National Park,Malawi,33.85,-10.57,0
NYU,Nyungwe,Nyungwe National Park,Rwanda,29.29,-2.53,0
ODZ,Odzala.Kokoua,Odzala Kokoua National Park,Congo,14.92,0.98,0
OKA,Okavango.Delta,Okavango Delta World Heritage Site,Botswana,23.04,-19.23,0
OMO,Omo,Omo National Park,Ethiopia,35.76,5.92,0
PFR,Pama,Pama Faunal Reserve,Burkina Faso,0.77,11.44,0
PWN,Parc.W.Niger,Parc W Niger National Park,Niger,2.41,12.31,0
QNP,Quiçãma,QuiðÜma National Park,Angola,13.62,-9.75,0
RUA,Ruaha,Ruaha National Park,Tanzania,34.57,-7.65,0
RUS,Rusizi,Rusizi National Park,Burundi,29.26,-3.26,0
RUV,Ruvubu,Ruvubu National Park,Burundi,30.37,-3.13,0
RWEN,Rwenzori.Mountains,Rwenzori Mountains National Park,Uganda,29.98,0.39,0
SALO,Salonga,Salonga National Park,Democratic Republic of the Congo,20.94,-2.49,0
SAM,Samburu,Samburu National Reserve,Kenya,37.54,0.61,0
SELO,Selous,Selous Game Reserve,Tanzania,37.46,-8.84,0
SIM,Siniaka.Minia,Siniaka Minia Faunal Reserve,Chad,18.2,10.44,0
SING,Singou,Singou Faunal Reserve,Burkina Faso,0.96,11.68,0
SMNP,Simien.Mountains,Simien Mountains National Park,Ethiopia,38.18,13.16,0
SNP,Serengeti,Serengeti National Park,Tanzania,34.78,-2.33,0
TAM,Tamou,Reserve totale de faune de Tamou,Niger,2.3,12.6,0
TAR,Tarangire,Tarangire National Park,Tanzania,36.1,-4.15,0
TSA,Tsavo,Tsavo National Park,Kenya,38.77,-2.78,0
TSO,Tsoulou,Tsoulou Faunal Reserve,Congo,12.5,-3.58,0
VMW,Vwaza.Marsh,Vwaza Marsh Wildlife Reserve,Malawi,33.45,-11.01,0
VOL,Volcans,Volcans National Park,Rwanda,29.52,-1.48,0
WBP,Waterberg.Plateau,Waterberg Plateau National Park,Namibia,17.29,-20.4,0
WLNP,West.Lunga,West Lunga National Park,Zambia,24.78,-12.81,0
WNP,W,W National Park,Burkina Faso,2.16,11.9,0
ZAK,Zakouma,Zakouma National Park,Chad,19.67,10.82,0
ZIN,Zinave,Zinave National Park,Mozambique,33.56,-21.61,0
